Country/territory of asylum/residence,Origin,"Country/territory of asylum (earlier) (only applicable for returned refugees)",Type of population,Population,of whom assisted by UNHCR
Spain,Dem. People's Rep. of Korea,,Total population of concern,0,0
Spain,Dem. Rep. of the Congo,,Total Refugee and people in refugee-like situations,76,0
Spain,Dem. Rep. of the Congo,,Asylum-seekers,105,0
Spain,Dem. Rep. of the Congo,,Total population of concern,181,0
Spain,Dominican Rep.,,Asylum-seekers,155,0
Spain,Dominican Rep.,,Total population of concern,155,0
Spain,Ecuador,,Asylum-seekers,5,0
Spain,Ecuador,,Total population of concern,5,0
Spain,Egypt,,Total Refugee and people in refugee-like situations,12,0
Spain,Egypt,,Asylum-seekers,40,0
Spain,Egypt,,Total population of concern,52,0
Spain,El Salvador,,Total Refugee and people in refugee-like situations,7,0
Spain,El Salvador,,Asylum-seekers,555,0
Spain,El Salvador,,Total population of concern,562,0
Spain,Equatorial Guinea,,Total Refugee and people in refugee-like situations,39,0
Spain,Equatorial Guinea,,Asylum-seekers,45,0
Spain,Equatorial Guinea,,Total population of concern,84,0
Spain,Eritrea,,Total Refugee and people in refugee-like situations,152,0
Spain,Eritrea,,Asylum-seekers,15,0
Spain,Eritrea,,Total population of concern,167,0
Spain,Ethiopia,,Total Refugee and people in refugee-like situations,63,0
Spain,Ethiopia,,Asylum-seekers,15,0
Spain,Ethiopia,,Total population of concern,78,0
Spain,Gambia,,Total Refugee and people in refugee-like situations,11,0
Spain,Gambia,,Asylum-seekers,65,0
Spain,Gambia,,Total population of concern,76,0
Spain,Georgia,,Total Refugee and people in refugee-like situations,7,0
Spain,Georgia,,Asylum-seekers,125,0
Spain,Georgia,,Total population of concern,132,0
Spain,Ghana,,Asylum-seekers,35,0
Spain,Ghana,,Total population of concern,35,0
Spain,Guatemala,,Total Refugee and people in refugee-like situations,12,0
Spain,Guatemala,,Asylum-seekers,45,0
Spain,Guatemala,,Total population of concern,57,0
Spain,Guinea,,Total Refugee and people in refugee-like situations,0,0
Spain,Guinea,,Asylum-seekers,225,0
Spain,Guinea,,Total population of concern,229,0
Spain,Guinea-Bissau,,Total Refugee and people in refugee-like situations,0,0
Spain,Guinea-Bissau,,Asylum-seekers,10,0
Spain,Guinea-Bissau,,Total population of concern,12,0
Spain,Haiti,,Total Refugee and people in refugee-like situations,21,0
Spain,Haiti,,Asylum-seekers,5,0
Spain,Haiti,,Total population of concern,26,0
Spain,Honduras,,Total Refugee and people in refugee-like situations,34,0
Spain,Honduras,,Asylum-seekers,535,0
Spain,Honduras,,Total population of concern,569,0
Spain,India,,Total Refugee and people in refugee-like situations,6,0
Spain,India,,Asylum-seekers,30,0
Spain,India,,Total population of concern,36,0
Spain,Iran (Islamic Rep. of),,Total Refugee and people in refugee-like situations,84,0
Spain,Iran (Islamic Rep. of),,Asylum-seekers,130,0
Spain,Iran (Islamic Rep. of),,Total population of concern,214,0
Spain,Iraq,,Total Refugee and people in refugee-like situations,283,0
Spain,Iraq,,Asylum-seekers,250,0
Spain,Iraq,,Total population of concern,533,0
Spain,Jordan,,Total Refugee and people in refugee-like situations,29,0
Spain,Jordan,,Asylum-seekers,25,0
Spain,Jordan,,Total population of concern,54,0
Spain,Kazakhstan,,Total Refugee and people in refugee-like situations,12,0
Spain,Kazakhstan,,Asylum-seekers,15,0
Spain,Kazakhstan,,Total population of concern,27,0
Spain,Kenya,,Asylum-seekers,5,0
Spain,Kenya,,Total population of concern,5,0
Spain,Kyrgyzstan,,Total Refugee and people in refugee-like situations,0,0
Spain,Kyrgyzstan,,Asylum-seekers,5,0
Spain,Kyrgyzstan,,Total population of concern,9,0
Spain,Lebanon,,Total Refugee and people in refugee-like situations,14,0
Spain,Lebanon,,Asylum-seekers,65,0
Spain,Lebanon,,Total population of concern,79,0
Spain,Liberia,,Total Refugee and people in refugee-like situations,6,0
Spain,Liberia,,Asylum-seekers,20,0
Spain,Liberia,,Total population of concern,26,0
Spain,Libya,,Total Refugee and people in refugee-like situations,21,0
Spain,Libya,,Asylum-seekers,55,0
Spain,Libya,,Total population of concern,76,0
Spain,Mali,,Total Refugee and people in refugee-like situations,0,0
Spain,Mali,,Asylum-seekers,255,0
Spain,Mali,,Total population of concern,259,0
Spain,Mauritania,,Asylum-seekers,20,0
Spain,Mauritania,,Total population of concern,20,0
Spain,Mauritius,,Total Refugee and people in refugee-like situations,0,0
Spain,Mauritius,,Total population of concern,0,0
Spain,Mexico,,Total Refugee and people in refugee-like situations,16,0
Spain,Mexico,,Asylum-seekers,40,0
Spain,Mexico,,Total population of concern,56,0
Spain,Mongolia,,Asylum-seekers,10,0
Spain,Mongolia,,Total population of concern,10,0
Spain,Morocco,,Total Refugee and people in refugee-like situations,68,0
Spain,Morocco,,Asylum-seekers,385,0
Spain,Morocco,,Total population of concern,453,0
Spain,Myanmar,,Total Refugee and people in refugee-like situations,0,0
Spain,Myanmar,,Total population of concern,0,0
Spain,Nepal,,Total Refugee and people in refugee-like situations,0,0
Spain,Nepal,,Total population of concern,0,0
Spain,Nicaragua,,Total Refugee and people in refugee-like situations,11,0
Spain,Nicaragua,,Asylum-seekers,25,0
Spain,Nicaragua,,Total population of concern,36,0
Spain,Niger,,Asylum-seekers,10,0
Spain,Niger,,Total population of concern,10,0
Spain,Nigeria,,Total Refugee and people in refugee-like situations,42,0
Spain,Nigeria,,Asylum-seekers,705,0
Spain,Nigeria,,Total population of concern,747,0
Spain,Pakistan,,Total Refugee and people in refugee-like situations,328,0
Spain,Pakistan,,Asylum-seekers,235,0
Spain,Pakistan,,Total population of concern,563,0
Spain,Palestinian,,Total Refugee and people in refugee-like situations,738,0
Spain,Palestinian,,Asylum-seekers,825,0
Spain,Palestinian,,Total population of concern,1563,0
Spain,Panama,,Asylum-seekers,5,0
Spain,Panama,,Total population of concern,5,0
Spain,Paraguay,,Asylum-seekers,15,0
Spain,Paraguay,,Total population of concern,15,0
Spain,Peru,,Total Refugee and people in refugee-like situations,0,0
Spain,Peru,,Asylum-seekers,30,0
Spain,Peru,,Total population of concern,31,0
Spain,Philippines,,Total Refugee and people in refugee-like situations,0,0
Spain,Philippines,,Total population of concern,0,0
Spain,Rep. of Moldova,,Asylum-seekers,25,0
Spain,Rep. of Moldova,,Total population of concern,25,0
Spain,Russian Federation,,Total Refugee and people in refugee-like situations,134,0
Spain,Russian Federation,,Asylum-seekers,275,0
Spain,Russian Federation,,Total population of concern,409,0
Spain,Rwanda,,Total Refugee and people in refugee-like situations,7,0
Spain,Rwanda,,Asylum-seekers,10,0
Spain,Rwanda,,Total population of concern,17,0
Spain,Saudi Arabia,,Asylum-seekers,0,0
Spain,Saudi Arabia,,Total population of concern,0,0
Spain,Senegal,,Total Refugee and people in refugee-like situations,6,0
Spain,Senegal,,Asylum-seekers,25,0
Spain,Senegal,,Total population of concern,31,0
Spain,Serbia and Kosovo: S/RES/1244 (1999),,Total Refugee and people in refugee-like situations,0,0
Spain,Serbia and Kosovo: S/RES/1244 (1999),,Asylum-seekers,15,0
Spain,Serbia and Kosovo: S/RES/1244 (1999),,Total population of concern,18,0
Spain,Sierra Leone,,Total Refugee and people in refugee-like situations,13,0
Spain,Sierra Leone,,Asylum-seekers,30,0
Spain,Sierra Leone,,Total population of concern,43,0
Spain,Somalia,,Total Refugee and people in refugee-like situations,599,0
Spain,Somalia,,Asylum-seekers,145,0
Spain,Somalia,,Total population of concern,744,0
Spain,South Africa,,Asylum-seekers,0,0
Spain,South Africa,,Total population of concern,0,0
Spain,South Sudan,,Asylum-seekers,5,0
Spain,South Sudan,,Total population of concern,5,0
Spain,Sri Lanka,,Total Refugee and people in refugee-like situations,98,0
Spain,Sri Lanka,,Asylum-seekers,55,0
Spain,Sri Lanka,,Total population of concern,153,0
Spain,Stateless,,Total Refugee and people in refugee-like situations,50,0
Spain,Stateless,,Persons under UNHCR's statelessness mandate,485,0
Spain,Stateless,,Total population of concern,535,0
Spain,Sudan,,Total Refugee and people in refugee-like situations,55,0
Spain,Sudan,,Asylum-seekers,35,0
Spain,Sudan,,Total population of concern,90,0
Spain,Syrian Arab Rep.,,Total Refugee and people in refugee-like situations,10235,0
Spain,Syrian Arab Rep.,,Asylum-seekers,1600,0
Spain,Syrian Arab Rep.,,Total population of concern,11835,0
Spain,Tajikistan,,Asylum-seekers,5,0
Spain,Tajikistan,,Total population of concern,5,0
Spain,The former Yugoslav Republic of Macedonia,,Total Refugee and people in refugee-like situations,0,0
Spain,The former Yugoslav Republic of Macedonia,,Asylum-seekers,10,0
Spain,The former Yugoslav Republic of Macedonia,,Total population of concern,11,0
Spain,Tibetan,,Total Refugee and people in refugee-like situations,0,0
Spain,Tibetan,,Total population of concern,0,0
Spain,Togo,,Total Refugee and people in refugee-like situations,14,0
Spain,Togo,,Asylum-seekers,15,0
Spain,Togo,,Total population of concern,29,0
Spain,Tunisia,,Total Refugee and people in refugee-like situations,0,0
Spain,Tunisia,,Asylum-seekers,20,0
Spain,Tunisia,,Total population of concern,21,0
Spain,Turkey,,Total Refugee and people in refugee-like situations,0,0
Spain,Turkey,,Asylum-seekers,40,0
Spain,Turkey,,Total population of concern,42,0
Spain,Turkmenistan,,Asylum-seekers,5,0
Spain,Turkmenistan,,Total population of concern,5,0
Spain,Uganda,,Total Refugee and people in refugee-like situations,0,0
Spain,Uganda,,Asylum-seekers,5,0
Spain,Uganda,,Total population of concern,7,0
Spain,Ukraine,,Total Refugee and people in refugee-like situations,248,0
Spain,Ukraine,,Asylum-seekers,5555,0
Spain,Ukraine,,Total population of concern,5803,0
Spain,United States of America,,Asylum-seekers,10,0
Spain,United States of America,,Total population of concern,10,0
Spain,Uruguay,,Asylum-seekers,5,0
Spain,Uruguay,,Total population of concern,5,0
Spain,Uzbekistan,,Total Refugee and people in refugee-like situations,9,0
Spain,Uzbekistan,,Asylum-seekers,10,0
Spain,Uzbekistan,,Total population of concern,19,0
Spain,Various,,Total Refugee and people in refugee-like situations,78,0
Spain,Various,,Asylum-seekers,35,0
Spain,Various,,Total population of concern,113,0
Spain,Venezuela (Bolivarian Republic of),,Total Refugee and people in refugee-like situations,30,0
Spain,Venezuela (Bolivarian Republic of),,Asylum-seekers,4435,0
Spain,Venezuela (Bolivarian Republic of),,Total population of concern,4465,0
Spain,Viet Nam,,Total Refugee and people in refugee-like situations,0,0
Spain,Viet Nam,,Asylum-seekers,5,0
Spain,Viet Nam,,Total population of concern,6,0
Spain,Western Sahara,,Total Refugee and people in refugee-like situations,17,0
Spain,Western Sahara,,Asylum-seekers,15,0
Spain,Western Sahara,,Total population of concern,32,0
Spain,Yemen,,Total Refugee and people in refugee-like situations,10,0
Spain,Yemen,,Asylum-seekers,55,0
Spain,Yemen,,Total population of concern,65,0
Spain,Zimbabwe,,Total Refugee and people in refugee-like situations,0,0
Spain,Zimbabwe,,Total population of concern,0,0
Sri Lanka,Afghanistan,,Total Refugee and people in refugee-like situations,97,97
Sri Lanka,Afghanistan,,Asylum-seekers,82,82
Sri Lanka,Afghanistan,,Total population of concern,179,179
Sri Lanka,Bangladesh,,Total Refugee and people in refugee-like situations,0,0
Sri Lanka,Bangladesh,,Total population of concern,0,0
Sri Lanka,Iran (Islamic Rep. of),,Total Refugee and people in refugee-like situations,7,7
Sri Lanka,Iran (Islamic Rep. of),,Asylum-seekers,12,12
Sri Lanka,Iran (Islamic Rep. of),,Total population of concern,19,19
Sri Lanka,Maldives,,Total Refugee and people in refugee-like situations,10,10
Sri Lanka,Maldives,,Asylum-seekers,0,0
Sri Lanka,Maldives,,Total population of concern,13,13
Sri Lanka,Myanmar,,Total Refugee and people in refugee-like situations,35,35
Sri Lanka,Myanmar,,Asylum-seekers,0,0
Sri Lanka,Myanmar,,Total population of concern,36,36
Sri Lanka,Nigeria,,Asylum-seekers,0,0
Sri Lanka,Nigeria,,Total population of concern,0,0
Sri Lanka,Pakistan,,Total Refugee and people in refugee-like situations,482,482
Sri Lanka,Pakistan,,Asylum-seekers,515,515
Sri Lanka,Pakistan,,Total population of concern,997,997
Sri Lanka,Palestinian,,Total Refugee and people in refugee-like situations,9,9
Sri Lanka,Palestinian,,Asylum-seekers,0,0
Sri Lanka,Palestinian,,Total population of concern,10,10
Sri Lanka,Somalia,,Total Refugee and people in refugee-like situations,0,0
Sri Lanka,Somalia,,Total population of concern,0,0
Sri Lanka,Sri Lanka,Indonesia,Returned refugees,0,0
Sri Lanka,Sri Lanka,India,Returned refugees,706,682
Sri Lanka,Sri Lanka,Malaysia,Returned refugees,0,0
Sri Lanka,Sri Lanka,"China, Hong Kong SAR",Returned refugees,0,0
Sri Lanka,Sri Lanka,,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",36807,0
Sri Lanka,Sri Lanka,,Returned IDPs,2923,0
Sri Lanka,Sri Lanka,,Total population of concern,40445,687
Sri Lanka,Sudan,,Asylum-seekers,0,0
Sri Lanka,Sudan,,Total population of concern,0,0
Sri Lanka,Syrian Arab Rep.,,Total Refugee and people in refugee-like situations,8,8
Sri Lanka,Syrian Arab Rep.,,Asylum-seekers,6,6
Sri Lanka,Syrian Arab Rep.,,Total population of concern,14,14
Sri Lanka,Tunisia,,Total Refugee and people in refugee-like situations,0,0
Sri Lanka,Tunisia,,Total population of concern,0,0
Sri Lanka,Turkey,,Asylum-seekers,0,0
Sri Lanka,Turkey,,Total population of concern,0,0
Sri Lanka,Ukraine,,Asylum-seekers,0,0
Sri Lanka,Ukraine,,Total population of concern,0,0
Sri Lanka,Yemen,,Total Refugee and people in refugee-like situations,0,0
Sri Lanka,Yemen,,Asylum-seekers,12,12
Sri Lanka,Yemen,,Total population of concern,13,13
Sudan,Afghanistan,,Total Refugee and people in refugee-like situations,6,6
Sudan,Afghanistan,,Total population of concern,6,6
Sudan,Algeria,,Total Refugee and people in refugee-like situations,0,0
Sudan,Algeria,,Asylum-seekers,0,0
Sudan,Algeria,,Total population of concern,0,0
Sudan,Burundi,,Total Refugee and people in refugee-like situations,15,15
Sudan,Burundi,,Asylum-seekers,8,8
Sudan,Burundi,,Total population of concern,23,23
Sudan,Cameroon,,Total Refugee and people in refugee-like situations,7,7
Sudan,Cameroon,,Total population of concern,7,7
Sudan,Central African Rep.,,Total Refugee and people in refugee-like situations,2057,2057
Sudan,Central African Rep.,,Asylum-seekers,5,5
Sudan,Central African Rep.,,Total population of concern,2062,2062
Sudan,Chad,,Total Refugee and people in refugee-like situations,8850,8850
Sudan,Chad,,Asylum-seekers,5,5
Sudan,Chad,,Total population of concern,8855,8855
Sudan,"Congo, Republic of",,Asylum-seekers,8,8
Sudan,"Congo, Republic of",,Total population of concern,8,8
Sudan,Dem. Rep. of the Congo,,Total Refugee and people in refugee-like situations,62,62
